repository,url,default_branch,archived,assessment_status,poc_status,evidence_url,next_action,last_verified
"cywf/AegisNet","https://github.com/cywf/AegisNet","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/AirwayAtlas","https://github.com/cywf/AirwayAtlas","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/aliases","https://github.com/cywf/aliases","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/AlphaNest","https://github.com/cywf/AlphaNest","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/alt-f4-nft","https://github.com/cywf/alt-f4-nft","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/alt-f4-token","https://github.com/cywf/alt-f4-token","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/api-demo","https://github.com/cywf/api-demo","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/attack-defense-ctf","https://github.com/cywf/attack-defense-ctf","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/AudiFi","https://github.com/cywf/AudiFi","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/autobots","https://github.com/cywf/autobots","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/automata","https://github.com/cywf/automata","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Awesome_GPT_Super_Prompting","https://github.com/cywf/Awesome_GPT_Super_Prompting","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/awesome-cheatsheets","https://github.com/cywf/awesome-cheatsheets","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/awesome-open-source-data-engineering","https://github.com/cywf/awesome-open-source-data-engineering","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/blackhat-rust","https://github.com/cywf/blackhat-rust","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/blockchain-security","https://github.com/cywf/blockchain-security","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/boilerplates","https://github.com/cywf/boilerplates","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/chatgpt","https://github.com/cywf/chatgpt","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/chatgpt-discord-bot","https://github.com/cywf/chatgpt-discord-bot","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/chatgpt-plugin","https://github.com/cywf/chatgpt-plugin","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/CheatSheetSeries","https://github.com/cywf/CheatSheetSeries","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/computercraft-scripts","https://github.com/cywf/computercraft-scripts","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/crawler","https://github.com/cywf/crawler","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/cryptography-dictionary","https://github.com/cywf/cryptography-dictionary","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/ctf-kit","https://github.com/cywf/ctf-kit","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/CTFs","https://github.com/cywf/CTFs","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/cywf","https://github.com/cywf/cywf","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/cywf.github.io","https://github.com/cywf/cywf.github.io","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/dappcord","https://github.com/cywf/dappcord","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/discord-zerotier-bot","https://github.com/cywf/discord-zerotier-bot","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/dj-otg","https://github.com/cywf/dj-otg","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/dronekit","https://github.com/cywf/dronekit","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/flash-loan-arb","https://github.com/cywf/flash-loan-arb","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/FortiPath","https://github.com/cywf/FortiPath","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/foundry","https://github.com/cywf/foundry","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/gepeto","https://github.com/cywf/gepeto","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/GitHub-Achievements","https://github.com/cywf/GitHub-Achievements","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/github-docs","https://github.com/cywf/github-docs","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/global-newswire","https://github.com/cywf/global-newswire","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/gpt-builder","https://github.com/cywf/gpt-builder","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/gpt-system-prompts","https://github.com/cywf/gpt-system-prompts","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/grok-1","https://github.com/cywf/grok-1","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/hackbox","https://github.com/cywf/hackbox","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Heimdall","https://github.com/cywf/Heimdall","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/helm-charts","https://github.com/cywf/helm-charts","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/honeybadger","https://github.com/cywf/honeybadger","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/htb-helper","https://github.com/cywf/htb-helper","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/I-S00N","https://github.com/cywf/I-S00N","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/ignition","https://github.com/cywf/ignition","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Infraguard","https://github.com/cywf/Infraguard","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/InfraWiz","https://github.com/cywf/InfraWiz","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/IntroLabs","https://github.com/cywf/IntroLabs","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/iSee","https://github.com/cywf/iSee","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/jarvis","https://github.com/cywf/jarvis","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/kops","https://github.com/cywf/kops","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/lb-story","https://github.com/cywf/lb-story","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/lean55-linux","https://github.com/cywf/lean55-linux","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/loghub","https://github.com/cywf/loghub","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/mainframe","https://github.com/cywf/mainframe","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/malboxes","https://github.com/cywf/malboxes","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/maptoposter","https://github.com/cywf/maptoposter","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/mev-bots","https://github.com/cywf/mev-bots","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Momentum-Firmware","https://github.com/cywf/Momentum-Firmware","dev","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Morpheus","https://github.com/cywf/Morpheus","branch-24.03","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/netninja","https://github.com/cywf/netninja","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/nft-royalties","https://github.com/cywf/nft-royalties","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/nw_wrld","https://github.com/cywf/nw_wrld","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/OpenDevin","https://github.com/cywf/OpenDevin","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/openTAKpickList","https://github.com/cywf/openTAKpickList","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/organizing-terraform","https://github.com/cywf/organizing-terraform","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/OSINT","https://github.com/cywf/OSINT","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/oss-threatmodeling","https://github.com/cywf/oss-threatmodeling","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/otg-tak","https://github.com/cywf/otg-tak","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/owasp.github.io","https://github.com/cywf/owasp.github.io","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/pandoc","https://github.com/cywf/pandoc","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Pentest-Cheat-Sheet","https://github.com/cywf/Pentest-Cheat-Sheet","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/pinokio","https://github.com/cywf/pinokio","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/pragmaticai","https://github.com/cywf/pragmaticai","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Price-Tracking-Web-Scraper","https://github.com/cywf/Price-Tracking-Web-Scraper","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/python-multi-clipboard","https://github.com/cywf/python-multi-clipboard","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/rayhunter","https://github.com/cywf/rayhunter","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Red-Team-Infrastructure-Wiki","https://github.com/cywf/Red-Team-Infrastructure-Wiki","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/rust-guessing-game","https://github.com/cywf/rust-guessing-game","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/ScrumLord","https://github.com/cywf/ScrumLord","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/SeaSentinel","https://github.com/cywf/SeaSentinel","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/secure-data-query","https://github.com/cywf/secure-data-query","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/sentinel-project","https://github.com/cywf/sentinel-project","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/sentinel-provider","https://github.com/cywf/sentinel-provider","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Server","https://github.com/cywf/Server","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/situation-monitor","https://github.com/cywf/situation-monitor","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Sol-Sentry","https://github.com/cywf/Sol-Sentry","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/system-prompts-and-models-of-ai-tools","https://github.com/cywf/system-prompts-and-models-of-ai-tools","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/terraform-provider-zerotier","https://github.com/cywf/terraform-provider-zerotier","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/terraform-wazuh-kubernetes-module","https://github.com/cywf/terraform-wazuh-kubernetes-module","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/test-repo","https://github.com/cywf/test-repo","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/tfc-guide-example","https://github.com/cywf/tfc-guide-example","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/the-curator","https://github.com/cywf/the-curator","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/the-terraformer","https://github.com/cywf/the-terraformer","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/TheFatRat","https://github.com/cywf/TheFatRat","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/tle-fetcher","https://github.com/cywf/tle-fetcher","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/tle-sync","https://github.com/cywf/tle-sync","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/toc-lp-kit","https://github.com/cywf/toc-lp-kit","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/tpotce","https://github.com/cywf/tpotce","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/trackdirect","https://github.com/cywf/trackdirect","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/traffic","https://github.com/cywf/traffic","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/unit","https://github.com/cywf/unit","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/Virtual-Assistant-AI","https://github.com/cywf/Virtual-Assistant-AI","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/vTOC","https://github.com/cywf/vTOC","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/wazuh-documentation","https://github.com/cywf/wazuh-documentation","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/willow","https://github.com/cywf/willow","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/www-chapter-san-juan","https://github.com/cywf/www-chapter-san-juan","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/ymir","https://github.com/cywf/ymir","master","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
"cywf/zerotier-toolkit","https://github.com/cywf/zerotier-toolkit","main","false","unassessed","unknown","","Assess against PoC gate","2026-07-15"
